date,S,V,implied_volatility,delta,HE,PNL,PNL_with_hedge
2011-07-05,532.44,44.2,0.257239,0.722694,0,0,0
2011-07-06,535.36,46.9,0.266752,0.733358,-0.592302,-2.7,-0.592302
2011-07-07,546.6,55.3,0.267212,0.787625,-0.159671,-11.1,-0.751973
2011-07-08,531.99,43.95,0.265889,0.719431,-0.160184,0.25,-0.912157
2011-07-11,527.28,41,0.27315,0.691542,-0.440812,3.2,-1.35297
2011-07-12,534.01,46.4,0.283815,0.722803,-0.748116,-2.2,-2.10109
2011-07-13,538.26,49.3,0.284101,0.74509,0.169473,-5.1,-1.93161
2011-07-14,528.94,41.15,0.269242,0.706934,1.20351,3.05,-0.7281
2011-07-15,597.62,99.65,0.278322,0.940806,-9.94973,-55.45,-10.6778
2011-07-18,594.94,97.65,0.29698,0.926498,-0.524178,-53.45,-11.202
2011-07-19,602.55,103.8,0.263036,0.960375,0.897884,-59.6,-10.3041
2011-07-20,595.35,97.8,0.296095,0.931998,-0.917972,-53.6,-11.2221
2011-07-21,606.99,108.15,0.27217,0.964358,0.494923,-63.95,-10.7272
2011-07-22,618.23,118.7,0.244931,0.986135,0.285511,-74.5,-10.4417
2011-07-25,618.98,119.95,0.290303,0.971688,-0.514378,-75.75,-10.956
2011-07-26,622.52,123.25,0.282945,0.978697,0.135869,-79.05,-10.8202
2011-07-27,607.22,108.65,0.300582,0.957787,-0.378211,-64.45,-11.1984
2011-07-28,610.94,112.1,0.298314,0.965079,0.108932,-67.9,-11.0895
2011-07-29,603.69,106.8,0.364759,0.924773,-1.7009,-62.6,-12.7903
